location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
6980,"Sector-1, Noida - UPPCB","o3",11.84,"µg/m³","2025-09-01T14:45:00Z","2025-09-01T20:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11.56,"µg/m³","2025-09-01T15:00:00Z","2025-09-01T20:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.96,"µg/m³","2025-09-01T15:15:00Z","2025-09-01T20:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.6,"µg/m³","2025-09-01T15:30:00Z","2025-09-01T21:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",12.23,"µg/m³","2025-09-01T15:45:00Z","2025-09-01T21:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",12.23,"µg/m³","2025-09-01T16:00:00Z","2025-09-01T21:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11.05,"µg/m³","2025-09-01T16:15:00Z","2025-09-01T21:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.17,"µg/m³","2025-09-01T16:30:00Z","2025-09-01T22:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",12.52,"µg/m³","2025-09-01T16:45:00Z","2025-09-01T22:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",13.07,"µg/m³","2025-09-01T17:00:00Z","2025-09-01T22:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",12.33,"µg/m³","2025-09-01T17:15:00Z","2025-09-01T22:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.72,"µg/m³","2025-09-01T17:30:00Z","2025-09-01T23:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",12.05,"µg/m³","2025-09-01T17:45:00Z","2025-09-01T23:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11.23,"µg/m³","2025-09-01T18:00:00Z","2025-09-01T23:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.8,"µg/m³","2025-09-01T18:15:00Z","2025-09-01T23:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11.33,"µg/m³","2025-09-01T19:15:00Z","2025-09-02T00:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.21,"µg/m³","2025-09-01T19:30:00Z","2025-09-02T01:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",12.25,"µg/m³","2025-09-01T19:45:00Z","2025-09-02T01:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",12.31,"µg/m³","2025-09-01T20:00:00Z","2025-09-02T01:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11.41,"µg/m³","2025-09-01T20:15:00Z","2025-09-02T01:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11.88,"µg/m³","2025-09-01T21:30:00Z","2025-09-02T03:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",13.82,"µg/m³","2025-09-01T21:45:00Z","2025-09-02T03:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",12.8,"µg/m³","2025-09-01T22:00:00Z","2025-09-02T03:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.29,"µg/m³","2025-09-01T22:15:00Z","2025-09-02T03:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",8.84,"µg/m³","2025-09-01T22:30:00Z","2025-09-02T04:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.9,"µg/m³","2025-09-01T22:45:00Z","2025-09-02T04:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11.9,"µg/m³","2025-09-01T23:00:00Z","2025-09-02T04:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11,"µg/m³","2025-09-01T23:15:00Z","2025-09-02T04:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.33,"µg/m³","2025-09-01T23:30:00Z","2025-09-02T05:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11.37,"µg/m³","2025-09-01T23:45:00Z","2025-09-02T05:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.82,"µg/m³","2025-09-02T00:00:00Z","2025-09-02T05:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.02,"µg/m³","2025-09-02T00:15:00Z","2025-09-02T05:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",9.96,"µg/m³","2025-09-02T00:30:00Z","2025-09-02T06:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",13.39,"µg/m³","2025-09-02T00:45:00Z","2025-09-02T06:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11.49,"µg/m³","2025-09-02T01:00:00Z","2025-09-02T06:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",9.76,"µg/m³","2025-09-02T01:15:00Z","2025-09-02T06:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",9.31,"µg/m³","2025-09-02T01:30:00Z","2025-09-02T07:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11,"µg/m³","2025-09-02T01:45:00Z","2025-09-02T07:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.68,"µg/m³","2025-09-02T02:00:00Z","2025-09-02T07:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",9.78,"µg/m³","2025-09-02T02:15:00Z","2025-09-02T07:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",9.29,"µg/m³","2025-09-02T02:30:00Z","2025-09-02T08:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11.78,"µg/m³","2025-09-02T02:45:00Z","2025-09-02T08:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.51,"µg/m³","2025-09-02T03:00:00Z","2025-09-02T08:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",9.66,"µg/m³","2025-09-02T03:15:00Z","2025-09-02T08:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",9.29,"µg/m³","2025-09-02T03:30:00Z","2025-09-02T09:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11.21,"µg/m³","2025-09-02T03:45:00Z","2025-09-02T09:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11.68,"µg/m³","2025-09-02T04:00:00Z","2025-09-02T09:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.8,"µg/m³","2025-09-02T04:15:00Z","2025-09-02T09:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.64,"µg/m³","2025-09-02T04:30:00Z","2025-09-02T10:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",13.21,"µg/m³","2025-09-02T04:45:00Z","2025-09-02T10:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11.03,"µg/m³","2025-09-02T05:15:00Z","2025-09-02T10:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",15.07,"µg/m³","2025-09-02T05:30:00Z","2025-09-02T11:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",6.55,"µg/m³","2025-09-02T05:45:00Z","2025-09-02T11:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",11.21,"µg/m³","2025-09-02T06:00:00Z","2025-09-02T11:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",9.55,"µg/m³","2025-09-02T06:15:00Z","2025-09-02T11:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.68,"µg/m³","2025-09-02T06:30:00Z","2025-09-02T12:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",13.37,"µg/m³","2025-09-02T06:45:00Z","2025-09-02T12:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",13.33,"µg/m³","2025-09-02T07:00:00Z","2025-09-02T12:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",12.45,"µg/m³","2025-09-02T07:15:00Z","2025-09-02T12:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",13.5,"µg/m³","2025-09-02T07:30:00Z","2025-09-02T13:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",6.35,"µg/m³","2025-09-02T07:45:00Z","2025-09-02T13:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.7,"µg/m³","2025-09-02T08:00:00Z","2025-09-02T13:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",10.54,"µg/m³","2025-09-02T08:15:00Z","2025-09-02T13:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",9.82,"µg/m³","2025-09-02T08:30:00Z","2025-09-02T14:00:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",13.47,"µg/m³","2025-09-02T08:45:00Z","2025-09-02T14:15:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",13.66,"µg/m³","2025-09-02T09:00:00Z","2025-09-02T14:30:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
6980,"Sector-1, Noida - UPPCB","o3",9.8,"µg/m³","2025-09-02T09:15:00Z","2025-09-02T14:45:00+05:30","Asia/Kolkata",28.589247,77.321962,,,,"Uttar Pradesh Pollution Control Board","CPCB"
